Horse ID,Price_Back_1,Price_Lay_1,Horse Volume %
8887142,9.6,10.5,11.82632881
54944458,21,42,1.765641126
15233,18,26,1.680766028
18670569,9.6,11,3.929358416
55345341,5.7,6.6,12.51050977
56584908,6.6,8.6,18.69244532
55432876,30,44,0.482552788
56777089,46,75,0.116753069
736812,15,26,1.585132114
56330232,13.5,18.5,3.218878135
240980,3.9,4.5,44.19163442
8887142,10,10.5,11.68464567
54944458,21,42,1.744488189
15233,18,19.5,1.737401575
18670569,9.6,11,3.882283465
55345341,6.4,6.6,12.4
56584908,7.6,8.8,18.51181102
55432876,25,34,0.870472441
56777089,48,75,0.115354331
736812,15,19.5,1.928346457
56330232,11.5,17,3.259055118
240980,3.9,4.1,43.86614173
8887142,10,10.5,11.66136884
54944458,21,48,1.741013017
15233,19,26,1.73394052
18670569,9.6,11,3.874549619
55345341,6.4,6.6,12.38315646
56584908,7.6,8.4,18.58770093
55432876,25,34,0.868738384
56777089,46,75,0.115124535
736812,15,29,2.003088324
56330232,11,17,3.252562798
240980,3.9,4.1,43.77875658
8887142,10,10.5,11.66136884
54944458,21,48,1.741013017
15233,19,26,1.73394052
18670569,9.6,11,3.874549619
55345341,6.4,6.6,12.38315646
56584908,7.6,8.4,18.58770093
55432876,25,34,0.868738384
56777089,48,75,0.115124535
736812,13.5,19,2.003088324
56330232,11.5,17,3.252562798
240980,3.9,4.1,43.77875658
8887142,10,10.5,11.66136884
54944458,21,48,1.741013017
15233,19,26,1.73394052
18670569,9.6,11,3.874549619
55345341,6.4,6.6,12.38315646
56584908,7.6,8.4,18.58770093
55432876,25,34,0.868738384
56777089,48,70,0.115124535
736812,13.5,25,2.003088324
56330232,10.5,17,3.252562798
240980,3.9,4.1,43.77875658
8887142,10,10.5,11.66136884
54944458,21,48,1.741013017
15233,19,26,1.73394052
18670569,9.6,11,3.874549619
55345341,6.6,6.8,12.38315646
56584908,7.6,8.4,18.58770093
55432876,25,34,0.868738384
56777089,48,70,0.115124535
736812,13.5,25,2.003088324
56330232,10.5,15.5,3.252562798
240980,3.9,4.1,43.77875658
8887142,10,10.5,11.66136884
54944458,21,48,1.741013017
15233,19,26,1.73394052
18670569,9.6,11,3.874549619
55345341,6.6,6.8,12.38315646
56584908,7.6,8.4,18.58770093
55432876,25,34,0.868738384
56777089,46,70,0.115124535
736812,13.5,25,2.003088324
56330232,10.5,15.5,3.252562798
240980,3.9,4.1,43.77875658
8887142,10,10.5,11.13955313
54944458,21,36,1.663107244
15233,19,26,1.656351223
18670569,9.6,11,3.701173671
55345341,6.6,6.8,12.01220588
56584908,7.6,8.4,17.75594999
55432876,25,34,0.829864617
56777089,46,75,0.109973013
736812,13.5,21,2.761711375
56330232,10.5,15.5,3.107019131
240980,3.9,4.2,45.26309073
8887142,10,10.5,11.13955313
54944458,21,42,1.663107244
15233,19,26,1.656351223
18670569,9.6,11,3.701173671
55345341,6.6,6.8,12.01220588
56584908,7.6,8.4,17.75594999
55432876,25,34,0.829864617
56777089,46,75,0.109973013
736812,13.5,19.5,2.761711375
56330232,10.5,15.5,3.107019131
240980,3.9,4.2,45.26309073
8887142,10,10.5,11.10533209
54944458,21,42,1.657998129
15233,18.5,25,1.651262862
18670569,9.6,11,3.689803555
55345341,6.6,6.8,11.97530402
56584908,7.6,8.4,17.70140318
55432876,25,34,0.827315248
56777089,48,75,0.109635173
736812,13,19.5,2.753227315
56330232,12,17,3.097474275
240980,3.9,4.3,45.43124415
8887142,9.2,10,11.2971758
54944458,21,42,1.654420001
15233,18.5,25,1.64769927
18670569,9.6,11,3.681840584
55345341,6.6,6.8,11.9494601
56584908,8,8.4,17.66320176
55432876,20,25,0.825529818
56777089,48,75,0.109398569
736812,13,19.5,2.747285571
56330232,12,16,3.090789611
240980,3.9,4.3,45.33319892
8887142,9.2,10,11.26495752
54944458,20,34,1.711505097
15233,18.5,25,1.643000216
18670569,9.6,11,3.671340387
55345341,6.6,6.8,11.91538158
56584908,8.2,8.8,17.61282828
55432876,23,25,0.823175499
56777089,46,75,0.109086577
736812,13,19.5,2.739450621
56330232,12,17,3.081975026
240980,3.9,4.3,45.4272992
8887142,9.2,10,11.26495752
54944458,20,34,1.711505097
15233,19.5,24,1.643000216
18670569,9.6,11,3.671340387
55345341,6.6,6.8,11.91538158
56584908,8.2,8.8,17.61282828
55432876,18.5,25,0.823175499
56777089,48,75,0.109086577
736812,13.5,19.5,2.739450621
56330232,12,17,3.081975026
240980,3.9,4.3,45.4272992
8887142,9.2,10,11.26495752
54944458,20,34,1.711505097
15233,19,23,1.643000216
18670569,9.6,11,3.671340387
55345341,6.6,6.8,11.91538158
56584908,8.2,8.8,17.61282828
55432876,18.5,25,0.823175499
56777089,48,75,0.109086577
736812,13.5,19.5,2.739450621
56330232,12,17,3.081975026
240980,4,4.3,45.4272992
8887142,9.2,10,11.23772029
54944458,20,24,1.726308752
15233,19,23,1.639027651
18670569,9.6,10.5,3.885308919
55345341,6.6,6.8,11.88657171
56584908,8.4,9.4,17.57024272
55432876,18.5,25,0.821185166
56777089,42,70,0.108822819
736812,13.5,18,2.732826979
56330232,12,16,3.074523204
240980,4.3,4.6,45.31746179
8887142,8.8,9.8,11.59038025
54944458,20,24,1.719449983
15233,19,23,1.632515657
18670569,9.6,10.5,3.869872262
55345341,6.6,6.8,11.83934537
56584908,8.2,8.6,17.50043467
55432876,18.5,25,0.817922529
